Id,CreatedAt,Line,Type,Text
299768330171080704,"Fri Feb 08 06:35:13 +0000 2013","Jubilee","","Jubilee Line: Back to good service."
299757015096492032,"Fri Feb 08 05:50:16 +0000 2013","Jubilee","Minor delays","Jubilee Line: Minor delays to southbound service due to an earlier signal failure at Neasden.GOOD SERVICE on the rest of the line."
299667667151900672,"Thu Feb 07 23:55:14 +0000 2013","","","Bakerloo Line: Back to good service."
299577069103362049,"Thu Feb 07 17:55:13 +0000 2013","","Minor delays","Bakerloo Line: Minor delays due to operational issues."
299563297789837313,"Thu Feb 07 17:00:30 +0000 2013","Victoria","Minor delays","Victoria Line: Minor Delays due to an earlier faulty train at Seven Sisters."
299529284505178113,"Thu Feb 07 14:45:21 +0000 2013","Circle","","Circle Line: Back to good service."
299526738239692800,"Thu Feb 07 14:35:13 +0000 2013","Central","","Central Line: Back to good service."
299520455314911234,"Thu Feb 07 14:10:16 +0000 2013","Circle","Minor delays","Circle Line: Minor Delays to the anti clockwise service due to an earlier signalling problem at Edgware Road."
299509122670415872,"Thu Feb 07 13:25:14 +0000 2013","Central","Minor delays","Central Line: Minor Delays due to an earlier signal failure at Bethnal Green."
299499085960994818,"Thu Feb 07 12:45:21 +0000 2013","Central","Minor delays","Central Line: Minor Delays to the westbound service while we fix a signal failure at Bethnal Green."
299492774846275584,"Thu Feb 07 12:20:16 +0000 2013","Victoria","","Victoria Line: Back to good service."
299463823553871873,"Thu Feb 07 10:25:13 +0000 2013","Jubilee","Minor delays","Jubilee Line: Minor delays due to an earlier customer incident at London Bridge."
299462575719063552,"Thu Feb 07 10:20:16 +0000 2013","Jubilee","Minor delays","Jubilee Line: Minor delays due to ane earlier customer incident at London Bridge."
299455025208512512,"Thu Feb 07 09:50:16 +0000 2013","Jubilee","Minor delays","Jubilee Line: Minor delays due to ane arlier customer incident at London Bridge."
299439928276832256,"Thu Feb 07 08:50:16 +0000 2013","","","Bakerloo Line: Back to good service."
299428596622176256,"Thu Feb 07 08:05:15 +0000 2013","Victoria","Minor delays","Victoria Line: Minor delays due to an earlier fire alert at Brixton."
299419826034708483,"Thu Feb 07 07:30:24 +0000 2013","","Minor delays","Bakerloo Line: Minor delays due to operational issues."
299410974480424961,"Thu Feb 07 06:55:13 +0000 2013","Jubilee","","Jubilee Line: Back to good service."
299404726368362496,"Thu Feb 07 06:30:24 +0000 2013","Jubilee","Minor delays","Jubilee Line: Minor delays due to faulty track at West Ham."
299398393149652992,"Thu Feb 07 06:05:14 +0000 2013","Piccadilly","","Piccadilly Line: Back to good service."
299336809069027328,"Thu Feb 07 02:00:31 +0000 2013","Metropolitan","","Metropolitan Line: Back to good service."
299321705405489153,"Thu Feb 07 01:00:30 +0000 2013","Metropolitan","Severe delays","Metropolitan Line: Severe delays between Harrow on the  Hill and Watford /Chesham / Amersham due to an earlier signal failure at Moor Park"
299189545226866688,"Wed Feb 06 16:15:20 +0000 2013","Central","Minor delays","Central Line: Minor delays between Leytonstone and Epping due to an earlier faulty train at Woodford. GOOD SERVICE on the rest of the line."
299136698980397056,"Wed Feb 06 12:45:21 +0000 2013","Victoria","","Victoria Line: Back to good service."
299112769549135872,"Wed Feb 06 11:10:16 +0000 2013","","","Bakerloo Line: Back to good service."
299095217385127936,"Wed Feb 06 10:00:31 +0000 2013","Central","","Central Line: Back to good service."
299091398848819200,"Wed Feb 06 09:45:20 +0000 2013","","","Waterloo &amp; City Line: Back to good service."
299076308187627520,"Wed Feb 06 08:45:23 +0000 2013","","","Waterloo &amp; City Line: No service while we fix a signal failure at Bank."
299072545645268992,"Wed Feb 06 08:30:26 +0000 2013","","Minor delays","Bakerloo Line: Minor delays are occuring due to operational issues."
298915210234847232,"Tue Feb 05 22:05:14 +0000 2013","","","Bakerloo Line: Back to good service."
298820846334640128,"Tue Feb 05 15:50:16 +0000 2013","Piccadilly","","Piccadilly Line: Back to good service."
298799446060314626,"Tue Feb 05 14:25:14 +0000 2013","Piccadilly","Minor delays","Piccadilly Line: Minor delays due to an earlier faulty train at Arnos Grove."
298755448599887872,"Tue Feb 05 11:30:24 +0000 2013","Metropolitan","","Metropolitan Line: Back to good service."
298746598173851648,"Tue Feb 05 10:55:14 +0000 2013","","Minor delays","Bakerloo Line: Minor delays due to operational issues."
298744110502785024,"Tue Feb 05 10:45:21 +0000 2013","Piccadilly","Minor delays","Piccadilly Line: Minor Delays on the Uxbridge branch due to an earlier faulty train at Ruislip Manor. Good Service on the rest of the line."
298721460623638529,"Tue Feb 05 09:15:20 +0000 2013","","Minor delays","Bakerloo Line: Minor Delays due to operational issues."
298686200670195712,"Tue Feb 05 06:55:14 +0000 2013","","","Waterloo &amp; City Line: Back to good service."
298678649287229440,"Tue Feb 05 06:25:13 +0000 2013","","","Waterloo &amp; City Line: No service between Waterloo and Bank while we respond to a fire alert at Babk"
298537722451218434,"Mon Feb 04 21:05:14 +0000 2013","","","Bakerloo Line: Back to good service."
298489905179422720,"Mon Feb 04 17:55:13 +0000 2013","Piccadilly","","Piccadilly Line: Back to good service."
298484874065616897,"Mon Feb 04 17:35:14 +0000 2013","Victoria","Minor delays","Victoria Line: Minor delays are occuring due to an earlier faulty train at Tottenham Hale."
298474807501127682,"Mon Feb 04 16:55:14 +0000 2013","Piccadilly","Minor delays","Piccadilly Line: Minor delays while we fix a signal failure at South Kensington."
298462226682101760,"Mon Feb 04 16:05:14 +0000 2013","","Minor delays","Bakerloo Line: Minor delays between Elephant &amp; Castle and Queen's Park due to operational issues. GOOD SERVICE on the rest of the line."
298449670085160961,"Mon Feb 04 15:15:20 +0000 2013","","Minor delays","Bakerloo Line: Minor delays Elephant &amp; Castle to Queen's Park due to operational issues. GOOD SERVICE on the rest of the line."
298435810267639810,"Mon Feb 04 14:20:16 +0000 2013","","Minor delays","Bakerloo Line: Minor delays due to operational issues."
298406858878754817,"Mon Feb 04 12:25:13 +0000 2013","","Minor delays","Bakerloo Line: Minor delays between Elephant &amp; Castle and Queens Park due to operational issues. GOOD SERVICE on the rest of the line."
298330114058506242,"Mon Feb 04 07:20:16 +0000 2013","District","","District Line: Back to good service."
298244550445649923,"Mon Feb 04 01:40:16 +0000 2013","","","Waterloo &amp; City Line: Back to good service."
298243281433808896,"Mon Feb 04 01:35:14 +0000 2013","","","Hammersmith &amp; City Line: Back to good service."
298242066541056002,"Mon Feb 04 01:30:24 +0000 2013","Circle","","Circle Line: Back to good service."
298024339582906369,"Sun Feb 03 11:05:14 +0000 2013","Northern","","Northern Line: Back to good service."
298014271848198144,"Sun Feb 03 10:25:13 +0000 2013","Northern","Minor delays","Northern Line: Minor delays between Kennington and Morden due to a person under a train earler. GOOD SERVICE on the rest of the line."
297879679195574275,"Sun Feb 03 01:30:24 +0000 2013","","","Waterloo &amp; City Line: The Waterloo &amp; City line does not operate on Sundays."
297776465800482816,"Sat Feb 02 18:40:16 +0000 2013","Jubilee","","Jubilee Line: Back to good service."
297758883659780096,"Sat Feb 02 17:30:24 +0000 2013","Jubilee","Minor delays","Jubilee Line: Minor delays due to an earlier fire alert at St John's Wood."
297685866967621632,"Sat Feb 02 12:40:16 +0000 2013","","","Bakerloo Line: Back to good service."
297518506969272320,"Sat Feb 02 01:35:14 +0000 2013","Circle","","Circle Line: Saturday 2 and Sunday 3 February, no service."
297435461767532544,"Fri Feb 01 20:05:14 +0000 2013","Victoria","","Victoria Line: Back to good service."
297422904344330240,"Fri Feb 01 19:15:20 +0000 2013","Circle","","Circle Line: Back to good service."
297416593519026176,"Fri Feb 01 18:50:16 +0000 2013","Jubilee","","Jubilee Line: Back to good service."
297411595762536449,"Fri Feb 01 18:30:24 +0000 2013","Victoria","Minor delays","Victoria Line: Minor delays due to an earlier faulty train at Victoria."
